Namn,Bilete-bguw,Frå år,Materialar,Materialkommentar,Nasjonalmuseet,Objekt-ID,Produksjonsstad,Produsent,Til år,3D-modell,Estimert vekt (kg),Nasjonalitet,Bilete-URL,Emneord,Erverving,Setehøgde (cm),Stilperiode,Teknikk,Breidde (cm),Datering,Djupn (cm),Høgde (cm),Nemning,Hundreår
Armchair (ukjent),https://raw.githubusercontent.com/lukketsvane/stolar-db/main/VA_3d/O179299/O179299_bguw.png,1550.0,Tre,Kyllingvingetre,https://collections.vam.ac.uk/item/O179299/,O179299,China,Unknown,1600.0,https://raw.githubusercontent.com/lukketsvane/stolar-db/main/STOLAR/glb/O179299.glb,0.0,Anna,https://framemark.vam.ac.uk/collections/2006BF3673/full/full/0/default.jpg,,,,,,0.0,1550-1600,0.0,106.0,,1600-talet
Armchair (Liberty & Co. Ltd.),https://raw.githubusercontent.com/lukketsvane/stolar-db/main/VA_3d/O371915/O371915_bguw.png,1895.0,"Fløyel, Mahogni","[AI] Lakkert mahogni med innlagt dekor i buksbom, polstret og trukket med fløyel.",https://collections.vam.ac.uk/item/O371915/,O371915,Great Britain,Liberty & Co. Ltd.,1900.0,https://raw.githubusercontent.com/lukketsvane/stolar-db/main/STOLAR/glb/O371915.glb,0.0,Storbritannia,https://framemark.vam.ac.uk/collections/2017JU2342/full/full/0/default.jpg,,,,,,78.7,1895-1900,68.6,137.2,,1800-talet
Armchair (ukjent),https://raw.githubusercontent.com/lukketsvane/stolar-db/main/VA_3d/O78951/O78951_bguw.png,1804.0,"Bronse, Bøk, Maling, Rotting, Silke","[AI] Svartmalt bøk med skåret og forgylt dekor, sider med flettet rotting, polstret sete trukket med mønstret silke, og dekorelementer i bronse.",https://collections.vam.ac.uk/item/O78951/,O78951,Great Britain,ukjent,0.0,https://raw.githubusercontent.com/lukketsvane/stolar-db/main/VA_3d/O78951/O78951.glb,0.0,Storbritannia,"https://framemark.vam.ac.uk/collections/2006AM8598/full/!800,800/0/default.jpg",,,,,,65.0,ca. 1804,74.0,91.0,,1800-talet
"Armchair (Stuart, James 'Athenian')",https://raw.githubusercontent.com/lukketsvane/stolar-db/main/VA_3d/O73914/O73914_bguw.png,1759.0,"Lind, Silke",Lenestol i skoren og forgylta lind. Silkedamaskpolstringa er moderne,https://collections.vam.ac.uk/item/O73914/,O73914,London,"Stuart, James 'Athenian'",1765.0,https://raw.githubusercontent.com/lukketsvane/stolar-db/main/VA_3d/O73914/O73914.glb,0.0,Storbritannia,"https://framemark.vam.ac.uk/collections/2006BA0746/full/!800,800/0/default.jpg",,,,,"Polstring, Skjæring",67.0,1759-1765,63.0,94.5,,1700-talet
"Armchair (Demay, Jean-Baptiste Bernard)",https://raw.githubusercontent.com/lukketsvane/stolar-db/main/VA_3d/O71524/O71524_bguw.png,1805.0,"Bøk, Mahogni, Tekstil",Skåren mahogni med bøkeseterammar; polstert,https://collections.vam.ac.uk/item/O71524/,O71524,Paris,"Demay, Jean-Baptiste Bernard",1810.0,https://raw.githubusercontent.com/lukketsvane/stolar-db/main/VA_3d/O71524/O71524.glb,0.0,Frankrike,"https://framemark.vam.ac.uk/collections/2006BF2520/full/!800,800/0/default.jpg",,,,,"Polstring, Skjæring",74.0,1805-1810,62.0,94.0,,1800-talet
"Armchair (Stuart, James 'Athenian')",https://raw.githubusercontent.com/lukketsvane/stolar-db/main/VA_3d/O73917/O73917_bguw.png,1759.0,"Lind, Silke",Lenestol i skoren og forgylta lind. Silkedamaskpolstringa er moderne,https://collections.vam.ac.uk/item/O73917/,O73917,London,"Stuart, James 'Athenian'",1765.0,https://raw.githubusercontent.com/lukketsvane/stolar-db/main/STOLAR/glb/O73917.glb,0.0,Storbritannia,https://framemark.vam.ac.uk/collections/2016JL2880/full/full/0/default.jpg,,,,,"Polstring, Skjæring",67.0,1759-1765,63.0,94.0,,1700-talet
"Armchair (Stuart, James 'Athenian')",https://raw.githubusercontent.com/lukketsvane/stolar-db/main/VA_3d/O73919/O73919_bguw.png,1759.0,"Lind, Silke",Lenestol av skoren og forgylta lind. Silkedamaskpolstringa er moderne,https://collections.vam.ac.uk/item/O73919/,O73919,London,"Stuart, James 'Athenian'",1765.0,https://raw.githubusercontent.com/lukketsvane/stolar-db/main/STOLAR/glb/O73919.glb,0.0,Storbritannia,https://framemark.vam.ac.uk/collections/2016JL2880/full/full/0/default.jpg,,,,,"Polstring, Skjæring",65.0,1759-1765,63.0,94.5,,1700-talet
"Armchair (Ashbee, Charles Robert)",https://raw.githubusercontent.com/lukketsvane/stolar-db/main/VA_3d/O371712/O371712_bguw.png,1889.0,Eik,[AI] Beiset og lakkert eik med vertikale spiler i ryggen og formet sete.,https://collections.vam.ac.uk/item/O371712/,O371712,England,"Ashbee, Charles Robert",0.0,https://raw.githubusercontent.com/lukketsvane/stolar-db/main/STOLAR/glb/O371712.glb,0.0,Storbritannia,https://framemark.vam.ac.uk/collections/2016JA4140/full/full/0/default.jpg,,,,,,55.9,ca. 1889,58.4,111.8,,1800-talet
Armchair (ukjent),https://raw.githubusercontent.com/lukketsvane/stolar-db/main/VA_3d/O372333/O372333_bguw.png,1780.0,"Bøk, Messing, Silke, Ull","Dreidd og skoren bøk, samanføygd med tapp-og-hòl-konstruksjon, vassforgylt (meir enn éin gong), polstra med sauma kantar og trekt med Aubusson-biletvev av silke og ull (ikkje original til stolane), markert med messingspikring",https://collections.vam.ac.uk/item/O372333/,O372333,Paris,unknown,1800.0,https://raw.githubusercontent.com/lukketsvane/stolar-db/main/STOLAR/glb/O372333.glb,0.0,Frankrike,https://framemark.vam.ac.uk/collections/2010CT4552/full/full/0/default.jpg,,,,,"Dreiing, Polstring, Skjæring, Spikring, Tapping",65.2,ca. 1780-1800,63.5,33.0,,1700-talet
"Armchair (Stuart, James 'Athenian')",https://raw.githubusercontent.com/lukketsvane/stolar-db/main/VA_3d/O73921/O73921_bguw.png,1759.0,"Lind, Silke",Lenestol i skoren og forgylta lind. Silkedamaskpolstringa er moderne,https://collections.vam.ac.uk/item/O73921/,O73921,London,"Stuart, James 'Athenian'",1765.0,https://raw.githubusercontent.com/lukketsvane/stolar-db/main/VA_3d/O73921/O73921.glb,0.0,Storbritannia,"https://framemark.vam.ac.uk/collections/2016JL2880/full/!800,800/0/default.jpg",,,,,"Polstring, Skjæring",71.0,1759-1765,70.0,95.0,,1700-talet
Armchair (Vile and Cobb),https://raw.githubusercontent.com/lukketsvane/stolar-db/main/VA_3d/O53098/O53098_bguw.png,1755.0,"Bøk, Mahogni",Skoren mahogni på ei underramme av bøk,https://collections.vam.ac.uk/item/O53098/,O53098,London,Vile and Cobb,1765.0,https://raw.githubusercontent.com/lukketsvane/stolar-db/main/STOLAR/glb/O53098.glb,0.0,Storbritannia,https://framemark.vam.ac.uk/collections/2018KU1464/full/full/0/default.jpg,,,,,,0.0,ca. 1755-1765,0.0,99.1,,1700-talet
"Armchair (Wyatt, James)",https://raw.githubusercontent.com/lukketsvane/stolar-db/main/VA_3d/O58190/O58190_bguw.png,1805.0,"Eik, Tekstil",Skoren eik; det polstra setet er fornya,https://collections.vam.ac.uk/item/O58190/,O58190,England,"Wyatt, James",0.0,https://raw.githubusercontent.com/lukketsvane/stolar-db/main/VA_3d/O58190/O58190.glb,0.0,Storbritannia,"https://framemark.vam.ac.uk/collections/2006AU5805/full/!800,800/0/default.jpg",,,,,,59.0,ca. 1805,47.0,91.5,,1800-talet
Poltrona di Proust,https://raw.githubusercontent.com/lukketsvane/stolar-db/main/VA_3d/O1247425/O1247425_bguw.png,1978.0,"Maling, Tre",Handmåla ferdigobjekt,https://collections.vam.ac.uk/item/O1247425/,O1247425,Milan,"Mendini, Alessandro",0.0,https://raw.githubusercontent.com/lukketsvane/stolar-db/main/VA_3d/O1247425/O1247425.glb,0.0,Italia,"https://framemark.vam.ac.uk/collections/2017KK3035/full/!800,800/0/default.jpg",,,,,,0.0,1978,0.0,109.0,,1900-talet
"Armchair (Paul, Bruno)",https://raw.githubusercontent.com/lukketsvane/stolar-db/main/VA_3d/O144277/O144277_bguw.png,1905.0,"Bøk, Eik, Perlemor, Silke","Bøkeramme med satintrefiner, innlagt med eik og perlemor i midten, med original polstring i råsilke",https://collections.vam.ac.uk/item/O144277/,O144277,Munich,"Paul, Bruno",0.0,https://raw.githubusercontent.com/lukketsvane/stolar-db/main/VA_3d/O144277/O144277.glb,0.0,Tyskland,https://framemark.vam.ac.uk/collections/2006BF3321/full/full/0/default.jpg,,,,,,0.0,1905,0.0,100.0,,1900-talet
Armchair (Franz Ewerbeck),https://raw.githubusercontent.com/lukketsvane/stolar-db/main/VA_3d/O1779707/O1779707_bguw.png,1874.0,"Hestetagl, Nøttetre","Tre (truleg valnøtt, beisa), med erstatta vevd hestehårpolstring",https://collections.vam.ac.uk/item/O1779707/,O1779707,Germany,Franz Ewerbeck,0.0,https://raw.githubusercontent.com/lukketsvane/stolar-db/main/STOLAR/glb/O1779707.glb,0.0,Tyskland,https://framemark.vam.ac.uk/collections/2025PD8542/full/full/0/default.jpg,,,,,Polstring,60.0,1874,98.0,117.0,,1800-talet
"Armchair (Khanh, Quasar)",https://raw.githubusercontent.com/lukketsvane/stolar-db/main/VA_3d/O147463/O147463_bguw.png,1968.0,Plast,PVC,https://collections.vam.ac.uk/item/O147463/,O147463,United Kingdom,"Khanh, Quasar",0.0,https://raw.githubusercontent.com/lukketsvane/stolar-db/main/VA_3d/O147463/O147463.glb,0.0,Storbritannia,"https://framemark.vam.ac.uk/collections/2007BR4188/full/!800,800/0/default.jpg",,,,,,0.0,ca. 1968,0.0,20.0,,1900-talet
Armchair (Christopher Dresser),https://raw.githubusercontent.com/lukketsvane/stolar-db/main/VA_3d/O1779764/O1779764_bguw.png,1875.0,"Eik, Mahogni, Maling","Tre (truleg mahogni og eik), ebonisert og malt",https://collections.vam.ac.uk/item/O1779764/,O1779764,London,Christopher Dresser,1880.0,https://raw.githubusercontent.com/lukketsvane/stolar-db/main/STOLAR/glb/O1779764.glb,0.0,Storbritannia,https://framemark.vam.ac.uk/collections/2025PC6903/full/full/0/default.jpg,,,,,Lakkering,66.0,1875-1880,52.0,76.0,,1800-talet
Armchair (ukjent),https://raw.githubusercontent.com/lukketsvane/stolar-db/main/VA_3d/O368690/O368690_bguw.png,1670.0,"Nøttetre, Rotting","Valnøtt, dreidd, skoren og samanføygd, med panel av flettverk",https://collections.vam.ac.uk/item/O368690/,O368690,The Netherlands,ukjent,1680.0,https://raw.githubusercontent.com/lukketsvane/stolar-db/main/STOLAR/glb/O368690.glb,0.0,,https://framemark.vam.ac.uk/collections/2015HP3687/full/full/0/default.jpg,,,,,,64.0,1670-1680,64.0,46.5,,1600-talet
Armchair (ukjent),https://raw.githubusercontent.com/lukketsvane/stolar-db/main/VA_3d/O34060/O34060_bguw.png,1830.0,"Fløyel, Tre",Skore og forgylte tredelar med fløyelspolstring,https://collections.vam.ac.uk/item/O34060/,O34060,England,ukjent,0.0,https://raw.githubusercontent.com/lukketsvane/stolar-db/main/VA_3d/O34060/O34060.glb,0.0,Storbritannia,"https://framemark.vam.ac.uk/collections/2016JF0219/full/!800,800/0/default.jpg",,,,,,0.0,ca. 1830,0.0,118.1,,1800-talet
"Armchair (Jones, Owen)",https://raw.githubusercontent.com/lukketsvane/stolar-db/main/VA_3d/O130718/O130718_bguw.png,1873.0,"Mahogni, Messing, Nøttetre, Palisander","Mahogni, innlagt med sykomor, rosentre og valnøtt; messinghjul og moderne repstrek",https://collections.vam.ac.uk/item/O130718/,O130718,London,"Jones, Owen",0.0,https://raw.githubusercontent.com/lukketsvane/stolar-db/main/VA_3d/O130718/O130718.glb,0.0,Storbritannia,https://framemark.vam.ac.uk/collections/2016JA5815/full/full/0/default.jpg,,,,,,73.7,ca.1873,81.3,92.7,,1800-talet
Armchair,https://raw.githubusercontent.com/lukketsvane/stolar-db/main/VA_3d/O167151/O167151_bguw.png,0.0,"Bronse, Mahogni, Silke","Mahogni, silke og forgylta bronse",https://collections.vam.ac.uk/item/O167151/,O167151,,,0.0,https://raw.githubusercontent.com/lukketsvane/stolar-db/main/STOLAR/glb/O167151.glb,0.0,,https://framemark.vam.ac.uk/collections/2018LF7341/full/full/0/default.jpg,,,,,Polstring,0.0,,0.0,138.5,,
"Armchair (Maclaren, Denham)",https://raw.githubusercontent.com/lukketsvane/stolar-db/main/VA_3d/O129265/O129265_bguw.png,1931.0,"Tekstil, Tre",Polstring over treramme,https://collections.vam.ac.uk/item/O129265/,O129265,Great Britain,"Maclaren, Denham",0.0,https://raw.githubusercontent.com/lukketsvane/stolar-db/main/VA_3d/O129265/O129265.glb,0.0,Storbritannia,https://framemark.vam.ac.uk/collections/2008BT7497/full/full/0/default.jpg,,,,,,108.0,1931,109.0,62.0,,1900-talet
Armchair (Morris & Co.),https://raw.githubusercontent.com/lukketsvane/stolar-db/main/VA_3d/O58199/O58199_bguw.png,1901.0,"Eik, Lær",Røykt eik og lær,https://collections.vam.ac.uk/item/O58199/,O58199,London,Morris & Co.,0.0,https://raw.githubusercontent.com/lukketsvane/stolar-db/main/VA_3d/O58199/O58199.glb,0.0,Storbritannia,"https://framemark.vam.ac.uk/collections/2016JA4121/full/!800,800/0/default.jpg",,,,,,56.5,1901,57.0,46.5,,1900-talet
"Armchair (Moser, Koloman)",https://raw.githubusercontent.com/lukketsvane/stolar-db/main/VA_3d/O84637/O84637_bguw.png,1903.0,"Lønn, Messing, Pæretre","Lønn, innlagt med ebonisert pæretre, med messingføter; polstringa er ikkje original",https://collections.vam.ac.uk/item/O84637/,O84637,Vienna (city),"Moser, Koloman",0.0,https://raw.githubusercontent.com/lukketsvane/stolar-db/main/STOLAR/glb/O84637.glb,0.0,,"https://framemark.vam.ac.uk/collections/2008BT7449/full/!800,800/0/default.jpg",,,,,,61.0,1903,61.0,70.0,,1900-talet
"Armchair (J. S. Ford, Johnson & Co)",https://raw.githubusercontent.com/lukketsvane/stolar-db/main/VA_3d/O370282/O370282_bguw.png,1900.0,"Eik, Jern, Maling","[AI] Mørkmalt eik med skåret form, sammenføyd med synlige jernnagler.",https://collections.vam.ac.uk/item/O370282/,O370282,United states,"J. S. Ford, Johnson & Co",1905.0,https://raw.githubusercontent.com/lukketsvane/stolar-db/main/VA_3d/O370282/O370282.glb,0.0,Anna,"https://framemark.vam.ac.uk/collections/2006BF5419/full/!800,800/0/default.jpg",,,,,,52.0,1900-1905,50.0,81.0,,1900-talet
Armchair,https://raw.githubusercontent.com/lukketsvane/stolar-db/main/VA_3d/O372119/O372119_bguw.png,1750.0,"Mahogni, Tekstil","[AI] Skåret og gjennombrutt mahogni med dekorative detaljer, polstret sete trukket med tekstil.",https://collections.vam.ac.uk/item/O372119/,O372119,England,Unknown,1765.0,https://raw.githubusercontent.com/lukketsvane/stolar-db/main/STOLAR/glb/O372119.glb,0.0,Storbritannia,https://framemark.vam.ac.uk/collections/2016JL3118/full/full/0/default.jpg,,,,,,59.1,"Third quarter 18th century, 1750-1765",48.3,100.3,,1700-talet
Barrel back armchair,https://raw.githubusercontent.com/lukketsvane/stolar-db/main/VA_3d/O144159/O144159_bguw.png,1983.0,Tre,lacquered bentwood,https://collections.vam.ac.uk/item/O144159/,O144159,America,"Meier, Richard",0.0,https://raw.githubusercontent.com/lukketsvane/stolar-db/main/VA_3d/O144159/O144159.glb,0.0,,https://framemark.vam.ac.uk/collections/2006BF3527/full/full/0/default.jpg,,,,,,54.0,1983,51.0,71.0,,1900-talet
"Armchair (Aalto, Alvar)",https://raw.githubusercontent.com/lukketsvane/stolar-db/main/VA_3d/O129435/O129435_bguw.png,1929.0,"Bjørk, Kryssfiner",Bjørk og bjørkekryssfiner,https://collections.vam.ac.uk/item/O129435/,O129435,Helsinki,"Aalto, Alvar",0.0,https://raw.githubusercontent.com/lukketsvane/stolar-db/main/VA_3d/O129435/O129435.glb,0.0,Finland,https://framemark.vam.ac.uk/collections/2008BT7431/full/full/0/default.jpg,,,,,Laminering,51.0,1929,54.0,70.0,,1900-talet
Allegro armchair,https://raw.githubusercontent.com/lukketsvane/stolar-db/main/VA_3d/O132494/O132494_bguw.png,1949.0,"Lær, Tre","Laminert tre, lærtrekk",https://collections.vam.ac.uk/item/O132494/,O132494,Edinburgh,"Spence, Basil (Sir)",0.0,https://raw.githubusercontent.com/lukketsvane/stolar-db/main/VA_3d/O132494/O132494.glb,0.0,,https://framemark.vam.ac.uk/collections/2006AX7599/full/full/0/default.jpg,,,,,"Laminering, Polstring",46.5,1949,50.0,85.6,,1900-talet
Armchair (David Colwell),https://raw.githubusercontent.com/lukketsvane/stolar-db/main/VA_3d/O371206/O371206_bguw.png,1983.0,"Bøk, Maling, Skumplast, Ull","[AI] Svartmalt bøk, polstret med skumplast og trukket med rødt ulltekstil.",https://collections.vam.ac.uk/item/O371206/,O371206,Great Britain,David Colwell,0.0,https://raw.githubusercontent.com/lukketsvane/stolar-db/main/STOLAR/glb/O371206.glb,0.0,Storbritannia,https://framemark.vam.ac.uk/collections/2013GD3726/full/full/0/default.jpg,,,,,,0.0,1983,0.0,72.0,,1900-talet
DAF armchair,https://raw.githubusercontent.com/lukketsvane/stolar-db/main/VA_3d/O121254/O121254_bguw.png,1956.0,"Glasfiber, Stål",Moulded fibreglass and bent tubular steel,https://collections.vam.ac.uk/item/O121254/,O121254,United States,"Nelson, George",0.0,https://raw.githubusercontent.com/lukketsvane/stolar-db/main/VA_3d/O121254/O121254.glb,0.0,Anna,https://framemark.vam.ac.uk/collections/2006AX9547/full/full/0/default.jpg,,,,,,730.0,1956,570.0,41.5,,1900-talet
Juliet Armchair,https://raw.githubusercontent.com/lukketsvane/stolar-db/main/VA_3d/O66992/O66992_bguw.png,2002.0,"Eik, Ull","Eik, polstra sete med ulltrekk",https://collections.vam.ac.uk/item/O66992/,O66992,United Kingdom,"Hilton, Matthew",0.0,https://raw.githubusercontent.com/lukketsvane/stolar-db/main/VA_3d/O66992/O66992.glb,0.0,Storbritannia,"https://framemark.vam.ac.uk/collections/2006AY4351/full/!800,800/0/default.jpg",,,,,,0.0,2002,0.0,80.0,,2000-talet
Adjustable armchair,https://raw.githubusercontent.com/lukketsvane/stolar-db/main/VA_3d/O66273/O66273_bguw.png,1908.0,"Bøk, Kryssfiner, Messing","Dampbøygd bøkeramme, med kryssfinersete og -rygg; messingsstang",https://collections.vam.ac.uk/item/O66273/,O66273,Vienna (city),Josef Hoffmann,0.0,https://raw.githubusercontent.com/lukketsvane/stolar-db/main/STOLAR/glb/O66273.glb,0.0,,https://framemark.vam.ac.uk/collections/2006AP7917/full/full/0/default.jpg,,,,,Dampbøying,65.7,ca. 1908,100.5,98.5,,1900-talet
MR20 Armchair,https://raw.githubusercontent.com/lukketsvane/stolar-db/main/VA_3d/O129264/O129264_bguw.png,1927.0,"Rotting, Stålrør","Stålrøyr, spanskrøyrfletting",https://collections.vam.ac.uk/item/O129264/,O129264,Frankenberg,"Mies van der Rohe, Ludwig",0.0,https://raw.githubusercontent.com/lukketsvane/stolar-db/main/VA_3d/O129264/O129264.glb,0.0,,https://framemark.vam.ac.uk/collections/2006BF5943/full/full/0/default.jpg,,,,,,56.0,1927,89.0,75.0,,1900-talet
Glastonbury armchair,https://raw.githubusercontent.com/lukketsvane/stolar-db/main/VA_3d/O60628/O60628_bguw.png,1550.0,Eik,Eik,https://collections.vam.ac.uk/item/O60628/,O60628,England,Unknown,1550.0,https://raw.githubusercontent.com/lukketsvane/stolar-db/main/STOLAR/glb/O60628.glb,0.0,Storbritannia,https://framemark.vam.ac.uk/collections/2006AF7448/full/full/0/default.jpg,,,,,,60.5,1550,61.0,45.5,,1500-talet
175E Contoured Armchair,https://raw.githubusercontent.com/lukketsvane/stolar-db/main/VA_3d/O144416/O144416_bguw.png,1953.0,"Lær, Nøttetre",Valnøtt med lærtrekk,https://collections.vam.ac.uk/item/O144416/,O144416,New York,"Kagan, Vladimir",0.0,https://raw.githubusercontent.com/lukketsvane/stolar-db/main/VA_3d/O144416/O144416.glb,0.0,Anna,https://framemark.vam.ac.uk/collections/2008BT7499/full/full/0/default.jpg,,,,,Polstring,56.0,1953,0.0,80.0,,1900-talet
Flamingo armchair,https://raw.githubusercontent.com/lukketsvane/stolar-db/main/VA_3d/O134287/O134287_bguw.png,1959.0,"Gummi, Metall, Plast, Tre, Ull","Metallramme, skumgummipolstring, ullpolstring, tre, plast",https://collections.vam.ac.uk/item/O134287/,O134287,London,"Race, Ernest",0.0,https://raw.githubusercontent.com/lukketsvane/stolar-db/main/VA_3d/O134287/O134287.glb,0.0,Storbritannia,"https://framemark.vam.ac.uk/collections/2006BH0373/full/!800,800/0/default.jpg",,,,,,84.0,1959,83.5,91.5,,1900-talet
Armchair,https://raw.githubusercontent.com/lukketsvane/stolar-db/main/VA_3d/O1240871/O1240871_bguw.png,1859.0,"Bøk, Rotting","Dampbøygd, massiv og laminert bøkeramme, massivbøk og rottingsete, beisa tredeler",https://collections.vam.ac.uk/item/O1240871/,O1240871,Vienna,Thonet,0.0,https://raw.githubusercontent.com/lukketsvane/stolar-db/main/VA_3d/O1240871/O1240871.glb,0.0,Austerrike,"https://framemark.vam.ac.uk/collections/2012FE8564/full/!800,800/0/default.jpg",,,,,"Dampbøying, Fletting, Laminering",53.5,ca. 1859,0.0,95.0,,1800-talet
Armchair (ukjent),https://raw.githubusercontent.com/lukketsvane/stolar-db/main/VA_3d/O371967/O371967_bguw.png,1790.0,"Bøk, Rotting","Bøk, skoren og måla, med sete i rottingfletting",https://collections.vam.ac.uk/item/O371967/,O371967,England,unknown,1795.0,https://raw.githubusercontent.com/lukketsvane/stolar-db/main/STOLAR/glb/O371967.glb,0.0,Storbritannia,https://framemark.vam.ac.uk/collections/2014HD2214/full/full/0/default.jpg,,,,,"Fletting, Skjæring",55.2,1790-1795,55.0,93.5,,1700-talet
Armchair (Kaare Klint),https://raw.githubusercontent.com/lukketsvane/stolar-db/main/VA_3d/O371750/O371750_bguw.png,1933.0,"Messing, Rotting, Teak","[AI] Teak med flettet rotting i sete, rygg og fotstøtte. Sammenleggbar konstruksjon med regulerbar rygg og beslag i messing.",https://collections.vam.ac.uk/item/O371750/,O371750,Denmark,Kaare Klint,0.0,https://raw.githubusercontent.com/lukketsvane/stolar-db/main/STOLAR/glb/O371750.glb,0.0,Danmark,https://framemark.vam.ac.uk/collections/2014HC8585/full/full/0/default.jpg,,,,,,57.1,1933,0.0,90.1,,1900-talet
"Armchair (Sené, Jean-Baptiste-Claude)",https://raw.githubusercontent.com/lukketsvane/stolar-db/main/VA_3d/O52864/O52864_bguw.png,1788.0,"Nøttetre, Silke","Denne posten vil bli revidert etter konservering
Skoren valnøtt, måla kvit og grå og delvis forgylta, med moderne silkepolstring og moderne hjul",https://collections.vam.ac.uk/item/O52864/,O52864,Paris,"Sené, Jean-Baptiste-Claude",0.0,https://raw.githubusercontent.com/lukketsvane/stolar-db/main/VA_3d/O52864/O52864.glb,0.0,Frankrike,"https://framemark.vam.ac.uk/collections/2014HC9896/full/!800,800/0/default.jpg",,,,,,63.5,1788,63.0,91.5,,1700-talet
Armchair (ukjent),https://raw.githubusercontent.com/lukketsvane/stolar-db/main/VA_3d/O498891/O498891_bguw.png,1600.0,Tre,Huali-tre med skoren dekor,https://collections.vam.ac.uk/item/O498891/,O498891,China,ukjent,1700.0,https://raw.githubusercontent.com/lukketsvane/stolar-db/main/VA_3d/O498891/O498891.glb,0.0,Anna,"https://framemark.vam.ac.uk/collections/2011FC2422/full/!800,800/0/default.jpg",,,,,Skjæring,65.5,1600-1700,56.0,100.0,,1600-talet
Armchair (ukjent),https://raw.githubusercontent.com/lukketsvane/stolar-db/main/VA_3d/O129655/O129655_bguw.png,1740.0,"Bøk, Messing, Silke","Denne posten blir revidert. (8/7/14)

Skoren bøk, med moderne måla dekor (over tidlegare forgylling); moderne polstring med trekk av gul, einsfarga silketøy kanta med brei grågrøn bomullslette(?) og messinghovuda naglar",https://collections.vam.ac.uk/item/O129655/,O129655,Paris,Unknown,0.0,https://raw.githubusercontent.com/lukketsvane/stolar-db/main/VA_3d/O129655/O129655.glb,0.0,Frankrike,https://framemark.vam.ac.uk/collections/2012FF0496/full/full/0/default.jpg,,,,,,67.5,1740-70,61.0,34.0,,1700-talet
"Armchair (Fischel, Hartwig)",,1902.0,"Mahogni, Tekstil","[AI] Polert mahogni med polstret sete, rygg og sidefelt trukket med mønstret tekstil. Stoppet med hestetagl.",https://collections.vam.ac.uk/item/O84500/,O84500,Vienna (city),"Fischel, Hartwig",0.0,https://raw.githubusercontent.com/lukketsvane/stolar-db/main/STOLAR/glb/O84500.glb,0.0,,https://framemark.vam.ac.uk/collections/2017JU5334/full/full/0/default.jpg,,,,,,64.0,ca. 1902,55.0,54.0,,1900-talet
Armchair (ukjent),https://raw.githubusercontent.com/lukketsvane/stolar-db/main/VA_3d/O60675/O60675_bguw.png,1640.0,"Bøk, Eik, Nøttetre, Ull","Nøttetre, bøk og eik, med seinare trekk av ullfløyel",https://collections.vam.ac.uk/item/O60675/,O60675,England,Unknown,1670.0,https://raw.githubusercontent.com/lukketsvane/stolar-db/main/STOLAR/glb/O60675.glb,0.0,Storbritannia,https://framemark.vam.ac.uk/collections/2006AF6506/full/full/0/default.jpg,,,,,Polstring,71.5,ca. 1640-ca. 1670,64.5,45.5,,1600-talet
Armchair (ukjent),https://raw.githubusercontent.com/lukketsvane/stolar-db/main/VA_3d/O55022/O55022_bguw.png,1765.0,Mahogni,"Skore og forgylte treverk, truleg mahogni",https://collections.vam.ac.uk/item/O55022/,O55022,London,Unknown,1770.0,https://raw.githubusercontent.com/lukketsvane/stolar-db/main/STOLAR/glb/O55022.glb,0.0,Storbritannia,https://framemark.vam.ac.uk/collections/2006BE7151/full/full/0/default.jpg,,,,,Skjæring,0.0,1765-1770,0.0,104.1,,1700-talet
Armchair (ukjent),https://raw.githubusercontent.com/lukketsvane/stolar-db/main/VA_3d/O53194/O53194_bguw.png,1765.0,"Bøk, Mahogni","Skoren mahogni, med seteskinner av bøk kledd med mahogni. Det finst truleg òg bøkedelar i ryggramma, som ei nedre skinne. Mahognikledninga bak setet har ei eggforma profilering på øvre bakkant. Seteramma er forsterka med opne avstivarar, men spora deira for å ta imot dei",https://collections.vam.ac.uk/item/O53194/,O53194,England,ukjent,1775.0,https://raw.githubusercontent.com/lukketsvane/stolar-db/main/STOLAR/glb/O53194.glb,0.0,Storbritannia,https://framemark.vam.ac.uk/collections/2006AF5049/full/full/0/default.jpg,,,,,,78.0,ca. 1765-1775,74.0,98.0,,1700-talet
Armchair (ukjent),https://raw.githubusercontent.com/lukketsvane/stolar-db/main/VA_3d/O77640/O77640_bguw.png,1770.0,"Fløyel, Mahogni, Tekstil","[AI] Skåret og profilert mahogni, polstret sete trukket med mørk fløyel.",https://collections.vam.ac.uk/item/O77640/,O77640,Great Britain,Unknown,0.0,https://raw.githubusercontent.com/lukketsvane/stolar-db/main/STOLAR/glb/O77640.glb,0.0,Storbritannia,https://framemark.vam.ac.uk/collections/2006AM1906/full/full/0/default.jpg,,,,,,58.0,ca. 1770,55.5,94.0,,1700-talet
Armchair (ukjent),https://raw.githubusercontent.com/lukketsvane/stolar-db/main/VA_3d/O368899/O368899_bguw.png,1775.0,Løvtre,"Tropisk lauvtre (truleg huanghuali), samanføygd og skore",https://collections.vam.ac.uk/item/O368899/,O368899,Asia,ukjent,1820.0,https://raw.githubusercontent.com/lukketsvane/stolar-db/main/VA_3d/O368899/O368899.glb,0.0,,"https://framemark.vam.ac.uk/collections/2018KU1458/full/!800,800/0/default.jpg",,,,,"Samanføying, Skjæring",61.5,1775-1820,60.0,96.7,,1700-talet
