Namn,Bilete-bguw,Frå år,Materialar,Materialkommentar,Nasjonalmuseet,Objekt-ID,Produksjonsstad,Produsent,Til år,3D-modell,Estimert vekt (kg),Nasjonalitet,Bilete-URL,Emneord,Erverving,Setehøgde (cm),Stilperiode,Teknikk,Breidde (cm),Datering,Djupn (cm),Høgde (cm),Nemning,Hundreår,Sphericity (mesh),Fill-ratio (mesh),Inertia-ratio (mesh),"Kompleksitet (mesh, log10 v/a)",Konveks hylster-volum (m³)
Flamingo armchair,https://raw.githubusercontent.com/lukketsvane/stolar-db/main/STOLAR/bguw/O134287_bguw.png,1959.0,"Gummi, Metall, Plast, Tre, Ull","Metallramme, skumgummipolstring, ullpolstring, tre, plast",https://collections.vam.ac.uk/item/O134287/,O134287,London,"Race, Ernest",0.0,https://raw.githubusercontent.com/lukketsvane/stolar-db/main/STOLAR/glb/O134287.glb,0.0,Storbritannia,"https://framemark.vam.ac.uk/collections/2006BH0373/full/!800,800/0/default.jpg",,,,Modernisme / Midtjahrhundre,,84.0,1959,83.5,91.5,Armstol,1900-talet,0.8361492670409593,0.4631888755066536,0.5688174885979428,4.673864131916121,2.760193127106696
Chair,https://raw.githubusercontent.com/lukketsvane/stolar-db/main/STOLAR/bguw/O1343127_bguw.png,1872.0,"Fløyel, Mahogni",[AI] Skåret og dreid mahogni med polstret sete og ryggfelt trukket med fløyel.,https://collections.vam.ac.uk/item/O1343127/,O1343127,Vienna,,0.0,https://raw.githubusercontent.com/lukketsvane/stolar-db/main/STOLAR/glb/O1343127.glb,0.0,Austerrike,https://framemark.vam.ac.uk/collections/2016JJ7130/full/full/0/default.jpg,,,,Historisme,,0.0,ca.1872,0.0,0.0,Stol,1800-talet,0.7912860516798592,0.5978524547236524,0.3649869324180631,4.677857122720341,1.0767083487290272
"Armchair (Breuer, Marcel Lajos)",https://raw.githubusercontent.com/lukketsvane/stolar-db/main/STOLAR/bguw/O134352_bguw.png,1932.0,"Aluminium, Tre",Aluminium med trehåndlener.,https://collections.vam.ac.uk/item/O134352/,O134352,Rüti,"Breuer, Marcel Lajos",1933.0,https://raw.githubusercontent.com/lukketsvane/stolar-db/main/STOLAR/glb/O134352.glb,0.0,,"https://framemark.vam.ac.uk/collections/2006BF5416/full/!800,800/0/default.jpg",,,,Bauhaus,,56.0,1932-1933,84.0,24.0,Armstol,1900-talet,0.7737482301855291,0.6677348729638831,0.4203024428072707,4.668528401365203,1.85742461883084
Steel Short Chair prototype,https://raw.githubusercontent.com/lukketsvane/stolar-db/main/STOLAR/bguw/O134354_bguw.png,1932.0,"Stål, Tre",Stål og tre,https://collections.vam.ac.uk/item/O134354/,O134354,Switzerland,"Breuer, Marcel Lajos",0.0,https://raw.githubusercontent.com/lukketsvane/stolar-db/main/STOLAR/glb/O134354.glb,0.0,Anna,"https://framemark.vam.ac.uk/collections/2006AT6362/full/!800,800/0/default.jpg",,,,Bauhaus,,61.0,1932,79.0,36.0,Stol,1900-talet,0.7663549692505496,0.4088773567591628,0.4078651130000915,4.684717710841356,1.5861817372206497
BA3A,https://raw.githubusercontent.com/lukketsvane/stolar-db/main/STOLAR/bguw/O134356_bguw.png,1945.0,"Aluminium, Tekstil",Pressestøypt aluminium; polstra,https://collections.vam.ac.uk/item/O134356/,O134356,London,"Race, Ernest",0.0,https://raw.githubusercontent.com/lukketsvane/stolar-db/main/STOLAR/glb/O134356.glb,0.0,Storbritannia,"https://framemark.vam.ac.uk/collections/2015HN9586/full/!800,800/0/default.jpg",,,,Modernisme / Midtjahrhundre,,61.0,1945,48.0,47.8,Stol,1900-talet,0.8434285245355526,0.7056913430883024,0.487725536837736,4.677998471400378,2.0531899651356835
"Stool (Heal, Ambrose (Sir))",https://raw.githubusercontent.com/lukketsvane/stolar-db/main/STOLAR/bguw/O134440_bguw.png,1931.0,"Tekstil, Tre",Laminboard painted and upholstered,https://collections.vam.ac.uk/item/O134440/,O134440,England,"Heal, Ambrose (Sir)",0.0,https://raw.githubusercontent.com/lukketsvane/stolar-db/main/STOLAR/glb/O134440.glb,0.0,Storbritannia,https://framemark.vam.ac.uk/collections/2018LA4876/full/full/0/default.jpg,,,,Art Deco / Tidleg modernisme,,48.5,1931,34.7,42.4,Krakk,1900-talet,0.8335755375555945,0.9616508801573828,0.6855013116457435,5.878479080895853,0.0549174355744354
Chair (ukjent),https://raw.githubusercontent.com/lukketsvane/stolar-db/main/STOLAR/bguw/O134544_bguw.png,1550.0,Tre,Kastanjetre med innfellingar av elfenbein og lyst tre,https://collections.vam.ac.uk/item/O134544/,O134544,Italy,ukjent,0.0,https://raw.githubusercontent.com/lukketsvane/stolar-db/main/STOLAR/glb/O134544.glb,0.0,Italia,"https://framemark.vam.ac.uk/collections/2014HB8302/full/!800,800/0/default.jpg",,,,Renessanse,Innfelling,78.7,ca. 1550,0.0,101.6,Stol,1600-talet,0.822227728827554,0.8320256243617759,0.6049456923964233,4.648853143394938,3.026124128772405
Chair (ukjent),https://raw.githubusercontent.com/lukketsvane/stolar-db/main/STOLAR/bguw/O134548_bguw.png,1600.0,Tre,Samanføygd og skore kastanjetre med innfelling av elfenbein,https://collections.vam.ac.uk/item/O134548/,O134548,Italy,Unknown,0.0,https://raw.githubusercontent.com/lukketsvane/stolar-db/main/STOLAR/glb/O134548.glb,0.0,Italia,https://framemark.vam.ac.uk/collections/2014HB8371/full/full/0/default.jpg,,,,Barokk,"Innfelling, Samanføying, Skjæring",0.0,ca. 1600,0.0,0.0,Stol,1600-talet,0.7351193624737137,0.6797831106495278,0.2761324693856125,4.635442030750043,0.8035282272822895
Chair (ukjent),https://raw.githubusercontent.com/lukketsvane/stolar-db/main/STOLAR/bguw/O134558_bguw.png,1600.0,Nøttetre,Skore og samanføygde nøttetre med marketeridekor,https://collections.vam.ac.uk/item/O134558/,O134558,Italy,ukjent,0.0,https://raw.githubusercontent.com/lukketsvane/stolar-db/main/STOLAR/glb/O134558.glb,0.0,Italia,"https://framemark.vam.ac.uk/collections/2018KW9926/full/!800,800/0/default.jpg",,,,Barokk,"Innfelling, Samanføying, Skjæring",55.2,ca. 1600,38.1,138.4,Stol,1600-talet,0.7535760027120607,0.641036984462296,0.2936728983432137,4.6327837774839145,0.8446396909283234
"Chair (Basile, Ernesto)",https://raw.githubusercontent.com/lukketsvane/stolar-db/main/STOLAR/bguw/O134563_bguw.png,1902.0,"Rotting, Tre",Skore og samanføygde beisa tredelar med fletta sete,https://collections.vam.ac.uk/item/O134563/,O134563,Palermo,"Basile, Ernesto",0.0,https://raw.githubusercontent.com/lukketsvane/stolar-db/main/STOLAR/glb/O134563.glb,0.0,,https://framemark.vam.ac.uk/collections/2006AW1181/full/full/0/default.jpg,,,,Jugend/Art Nouveau,,52.0,ca. 1902,48.0,43.5,Stol,1900-talet,0.8030929994609358,0.7836723282604461,0.5105750402999127,5.965426537615389,0.0195147463282845
Chair,https://raw.githubusercontent.com/lukketsvane/stolar-db/main/STOLAR/bguw/O134634_bguw.png,1905.0,"Eik, Lær",Eik og lær,https://collections.vam.ac.uk/item/O134634/,O134634,Germany,"Riemerschmid, Richard",1906.0,https://raw.githubusercontent.com/lukketsvane/stolar-db/main/STOLAR/glb/O134634.glb,0.0,Tyskland,"https://framemark.vam.ac.uk/collections/2006BH5999/full/!800,800/0/default.jpg",,,,Jugend/Art Nouveau,,0.0,1905-1906,0.0,0.0,Stol,1900-talet,0.797812524039483,0.5098256079179863,0.4040018580585827,4.641404710697954,1.2028648757850802
Armchair (Unknown),https://raw.githubusercontent.com/lukketsvane/stolar-db/main/STOLAR/bguw/O134653_bguw.png,1650.0,"Filt, Fløyel, Nøttetre","Nøttetre, skore og samanføygde, med brodert fløyel og applikert filt",https://collections.vam.ac.uk/item/O134653/,O134653,Spain,Unknown,1650.0,https://raw.githubusercontent.com/lukketsvane/stolar-db/main/STOLAR/glb/O134653.glb,0.0,Spania,https://framemark.vam.ac.uk/collections/2011EU2483/full/full/0/default.jpg,,,,Barokk,"Samanføying, Skjæring",60.0,1650,41.0,125.0,Armstol,1600-talet,0.7945580468889167,0.6562657397609596,0.4633291192119049,5.056050287607411,0.3832776736215761
Chair (ukjent),https://raw.githubusercontent.com/lukketsvane/stolar-db/main/STOLAR/bguw/O134655_bguw.png,1550.0,Eik,"Skoren eik, delvis forgylt",https://collections.vam.ac.uk/item/O134655/,O134655,Italy,Unknown,1550.0,https://raw.githubusercontent.com/lukketsvane/stolar-db/main/STOLAR/glb/O134655.glb,0.0,Italia,https://framemark.vam.ac.uk/collections/2014HB8352/full/full/0/default.jpg,,,,Renessanse,Skjæring,63.5,1550,,137.2,Stol,1500-talet,0.7548978852766265,0.6020988727419888,0.3373542779823347,4.965593166819135,0.3184551630201573
Armchair (ukjent),https://raw.githubusercontent.com/lukketsvane/stolar-db/main/STOLAR/bguw/O134660_bguw.png,1555.0,Nøttetre,Skore nøttetre,https://collections.vam.ac.uk/item/O134660/,O134660,Italy,ukjent,1555.0,https://raw.githubusercontent.com/lukketsvane/stolar-db/main/STOLAR/glb/O134660.glb,0.0,Italia,"https://framemark.vam.ac.uk/collections/2006BB4233/full/!800,800/0/default.jpg",,,,Renessanse,Skjæring,69.9,1555,,104.1,Armstol,1600-talet,0.8241720301925171,0.7952267785670971,0.552012666506664,4.648280557068011,2.4347187925197584
Model FJ 48,https://raw.githubusercontent.com/lukketsvane/stolar-db/main/STOLAR/bguw/O135518_bguw.png,1948.0,"Gummi, Lær, Teak","Teak, leather, foam rubber",https://collections.vam.ac.uk/item/O135518/,O135518,Denmark,"Juhl, Finn",0.0,https://raw.githubusercontent.com/lukketsvane/stolar-db/main/STOLAR/glb/O135518.glb,0.0,Danmark,https://framemark.vam.ac.uk/collections/2006AX7625/full/full/0/default.jpg,,,,Skandinavisk modernisme,,141.0,1948,66.0,79.0,Stol,1900-talet,0.8080440593682536,0.6937823361912716,0.4075461922002933,5.107177965916099,0.4048407389602249
Rocking chair,https://raw.githubusercontent.com/lukketsvane/stolar-db/main/STOLAR/bguw/O135626_bguw.png,1851.0,Alm,Skoren og dreidd alm,https://collections.vam.ac.uk/item/O135626/,O135626,England,,0.0,https://raw.githubusercontent.com/lukketsvane/stolar-db/main/STOLAR/glb/O135626.glb,0.0,Storbritannia,"https://framemark.vam.ac.uk/collections/2014HC9412/full/!800,800/0/default.jpg",,,,Historisme,,37.9,1851,47.9,57.7,Gyngestol,1800-talet,0.8219577662486578,0.6261055097679941,0.5827798128537247,4.667418306218101,2.2734591291342903
Chair (Morris & Company),https://raw.githubusercontent.com/lukketsvane/stolar-db/main/STOLAR/bguw/O135628_bguw.png,1879.0,Tre,Tre,https://collections.vam.ac.uk/item/O135628/,O135628,England,Morris & Company,0.0,https://raw.githubusercontent.com/lukketsvane/stolar-db/main/STOLAR/glb/O135628.glb,0.0,Storbritannia,"https://framemark.vam.ac.uk/collections/2009CR2508/full/!800,800/0/default.jpg",,,,Arts and Crafts,,34.3,ca. 1879,35.0,56.5,Stol,1800-talet,0.77582728871772,0.6889762973126785,0.5026053513152663,4.664063572327605,1.7052857528038716
Sofa (ukjent),https://raw.githubusercontent.com/lukketsvane/stolar-db/main/STOLAR/bguw/O135632_bguw.png,1840.0,"Messing, Papir, Tekstil, Tre","Japannert tre og pappmasjé med måla og innlagt dekor, polstra sete og messingtrinser",https://collections.vam.ac.uk/item/O135632/,O135632,England,ukjent,1860.0,https://raw.githubusercontent.com/lukketsvane/stolar-db/main/STOLAR/glb/O135632.glb,0.0,Storbritannia,"https://framemark.vam.ac.uk/collections/2006AP3135/full/!800,800/0/default.jpg",,,,Historisme,,0.0,1840-1860,0.0,0.0,Stol,1800-talet,0.8394566726079625,0.6208208071565954,0.5641849100280303,4.662101897834623,2.4980584256065166
Stool (ukjent),https://raw.githubusercontent.com/lukketsvane/stolar-db/main/STOLAR/bguw/O135636_bguw.png,1840.0,"Mahogni, Tekstil","Mahogany, joined and upholstered with embroidered seat",https://collections.vam.ac.uk/item/O135636/,O135636,England,ukjent,0.0,https://raw.githubusercontent.com/lukketsvane/stolar-db/main/STOLAR/glb/O135636.glb,0.0,Storbritannia,"https://framemark.vam.ac.uk/collections/2014HD2085/full/!800,800/0/default.jpg",,,,Historisme,,0.0,about 1840,0.0,0.0,Krakk,1800-talet,0.7906574628980199,0.7083665840095669,0.2847354964206652,4.654863477799472,1.2218133623592915
Model 3107,https://raw.githubusercontent.com/lukketsvane/stolar-db/main/STOLAR/bguw/O1357847_bguw.png,1967.0,"Eik, Kryssfiner, Stål","9-lags kryssfiner med eikeoverflate, ramme av stålrøyr",https://collections.vam.ac.uk/item/O1357847/,O1357847,Denmark,"Jacobsen, Arne Emil",,https://raw.githubusercontent.com/lukketsvane/stolar-db/main/STOLAR/glb/O1357847.glb,,Danmark,"https://framemark.vam.ac.uk/collections/2016JP9560/full/!800,800/0/default.jpg",,,,Skandinavisk modernisme,,50.0,1967,52.0,78.0,Stol,1900-talet,0.8207256194944268,0.6359208940041189,0.5111128609677852,5.504666546508407,0.1301893481652689
Chair (Tendo Mokko),https://raw.githubusercontent.com/lukketsvane/stolar-db/main/STOLAR/bguw/O1359610_bguw.png,1955.0,"Aluminium, Bjørk, Kryssfiner","Ellevelags bjørkekryssfiner, aluminiumsføter",https://collections.vam.ac.uk/item/O1359610/,O1359610,Japan,Tendo Mokko,,https://raw.githubusercontent.com/lukketsvane/stolar-db/main/STOLAR/glb/O1359610.glb,,Anna,"https://framemark.vam.ac.uk/collections/2016JJ6460/full/!800,800/0/default.jpg",,,,Modernisme / Midtjahrhundre,,52.0,ca. 1955,54.0,77.0,Stol,1900-talet,0.8288019726660322,0.6585737809510978,0.5606952275289533,4.648618172639763,2.5155861648826536
"Chair (Komai, Ray)",https://raw.githubusercontent.com/lukketsvane/stolar-db/main/STOLAR/bguw/O1360736_bguw.png,1949.0,"Kryssfiner, Nøttetre, Stål",Formpressa femlags valnøttfinert kryssfiner og ramme av røyrstål,https://collections.vam.ac.uk/item/O1360736/,O1360736,Brooklyn,"Komai, Ray",0.0,https://raw.githubusercontent.com/lukketsvane/stolar-db/main/STOLAR/glb/O1360736.glb,0.0,,"https://framemark.vam.ac.uk/collections/2016JJ6465/full/!800,800/0/default.jpg",,,,Modernisme / Midtjahrhundre,,53.3,1949,57.8,74.3,Stol,1900-talet,0.8332076025195813,0.5616217025642433,0.581656156478723,4.7025760956916365,2.195927650282252
"Chair (Jalk, Grete)",https://raw.githubusercontent.com/lukketsvane/stolar-db/main/STOLAR/bguw/O1363233_bguw.png,1963.0,"Kryssfiner, Stål, Teak","Teakfinert ni-lags formpressa kryssfiner, stålboltar",https://collections.vam.ac.uk/item/O1363233/,O1363233,Denmark,"Jalk, Grete",,https://raw.githubusercontent.com/lukketsvane/stolar-db/main/STOLAR/glb/O1363233.glb,,Danmark,"https://framemark.vam.ac.uk/collections/2016JK8372/full/!800,800/0/default.jpg",,,,Modernisme / Midtjahrhundre,,62.9,1963,69.2,74.9,Stol,1900-talet,0.876494009499582,0.4747165896413023,0.6479451375285171,5.540941499547269,0.1449006787480785
Chair (ukjent),https://raw.githubusercontent.com/lukketsvane/stolar-db/main/STOLAR/bguw/O136629_bguw.png,1855.0,"Mahogni, Tekstil","[AI] Dreid og skåret mahogni, polstret sete trukket med tekstil.",https://collections.vam.ac.uk/item/O136629/,O136629,England,Unknown,0.0,https://raw.githubusercontent.com/lukketsvane/stolar-db/main/STOLAR/glb/O136629.glb,0.0,Storbritannia,https://framemark.vam.ac.uk/collections/2017JU5245/full/full/0/default.jpg,,,,Historisme,,44.5,ca. 1855,39.4,83.8,Stol,1800-talet,0.8163940393502008,0.6118678424067847,0.4483008395823823,5.424595658821075,0.1058297520524788
Garden Egg Chair,https://raw.githubusercontent.com/lukketsvane/stolar-db/main/STOLAR/bguw/O136993_bguw.png,1968.0,"Polyuretan, Tekstil","Lakkert formpressa polyuretan, tekstilpolstring",https://collections.vam.ac.uk/item/O136993/,O136993,Germany,"Ghyczy, Peter",,https://raw.githubusercontent.com/lukketsvane/stolar-db/main/STOLAR/glb/O136993.glb,,Tyskland,"https://framemark.vam.ac.uk/collections/2007BR3567/full/!800,800/0/default.jpg",,,,Modernisme / Midtjahrhundre,,74.0,1968,86.0,100.0,Stol,1900-talet,0.9121311552234888,0.4254990400793088,0.573996168093559,4.70765069190161,1.9912828698389704
Butterfly stool,https://raw.githubusercontent.com/lukketsvane/stolar-db/main/STOLAR/bguw/O1370748_bguw.png,1954.0,"Kryssfiner, Messing, Metall, Palisander",Rosentrefinert femlags kryssfiner med tverrstang i messing og metallbeslag,https://collections.vam.ac.uk/item/O1370748/,O1370748,Japan,"Yanagi, Sori",0.0,https://raw.githubusercontent.com/lukketsvane/stolar-db/main/STOLAR/glb/O1370748.glb,0.0,Anna,"https://framemark.vam.ac.uk/collections/2016JL5230/full/!800,800/0/default.jpg",,,,Modernisme / Midtjahrhundre,,44.2,1954,30.8,39.4,Krakk,1900-talet,0.853554215024908,0.902560093051482,0.6718849585839772,4.709805878501668,4.503732391059567
DCM (dining chair metal),https://raw.githubusercontent.com/lukketsvane/stolar-db/main/STOLAR/bguw/O1371096_bguw.png,1947.0,"Bjørk, Gummi, Kryssfiner, Stål","Formpressa bjørkekryssfiner, ramme av stålrøyr, gummifeste",https://collections.vam.ac.uk/item/O1371096/,O1371096,Los Angeles,"Eames, Charles",,https://raw.githubusercontent.com/lukketsvane/stolar-db/main/STOLAR/glb/O1371096.glb,,Anna,"https://framemark.vam.ac.uk/collections/2016JP8413/full/!800,800/0/default.jpg",,,,Midtjahrhundre modernisme,,49.2,ca. 1947,44.5,74.6,Spisestol,1900-talet,0.83130020797384,0.6738549847494448,0.6377486757188644,5.532710124396101,0.1204927836131306
Model X201,https://raw.githubusercontent.com/lukketsvane/stolar-db/main/STOLAR/bguw/O1371102_bguw.png,1947.0,"Aluminium, Kryssfiner",Formpressa 3-lags kryssfiner med bøkeoverflate og støypt aluminium,https://collections.vam.ac.uk/item/O1371102/,O1371102,Stevenage,"Leonard, James",0.0,https://raw.githubusercontent.com/lukketsvane/stolar-db/main/STOLAR/glb/O1371102.glb,0.0,,https://framemark.vam.ac.uk/collections/2017JY8730/full/full/0/default.jpg,,,,Modernisme / Midtjahrhundre,,49.8,1947,66.0,87.6,Stol,1900-talet,0.7754230958069228,0.6540651445322216,0.3926283938824532,5.38306277543909,0.1183617277321209
P31,https://raw.githubusercontent.com/lukketsvane/stolar-db/main/STOLAR/bguw/O1371104_bguw.png,1957.0,"Gummi, Kryssfiner, Messing, Palisander, Stål","7-lags kryssfiner med rosentreoverflate og ramme av stålrøyr, gummifeste og messingbeslag",https://collections.vam.ac.uk/item/O1371104/,O1371104,Milan,"Borsani, Osvaldo (Mr)",0.0,https://raw.githubusercontent.com/lukketsvane/stolar-db/main/STOLAR/glb/O1371104.glb,0.0,Italia,"https://framemark.vam.ac.uk/collections/2017JR5878/full/!800,800/0/default.jpg",,,,Modernisme / Midtjahrhundre,,57.0,1957,50.0,78.0,Stol,1900-talet,0.8733851253338007,0.5634095159632222,0.7586309781603154,5.527954433795024,0.1822209759585144
SE 42,https://raw.githubusercontent.com/lukketsvane/stolar-db/main/STOLAR/bguw/O1375313_bguw.png,1949.0,"Bøk, Gummi, Kryssfiner, Metall","Moulded 7-ply beech plywood seat and back with 11-ply beech plywood frame, rubber mounts, metal fittings.",https://collections.vam.ac.uk/item/O1375313/,O1375313,Esslingen,"Eiermann, Egon",0.0,https://raw.githubusercontent.com/lukketsvane/stolar-db/main/STOLAR/glb/O1375313.glb,0.0,,https://framemark.vam.ac.uk/collections/2017JR5872/full/full/0/default.jpg,,,,Modernisme / Midtjahrhundre,,52.0,1949,50.0,80.0,Stol,1900-talet,0.8331989580516792,0.4804317549504536,0.5792431383634447,5.449349972813331,0.1261709104214368
Egg armchair,https://raw.githubusercontent.com/lukketsvane/stolar-db/main/STOLAR/bguw/O137614_bguw.png,1958.0,"Aluminium, Lær, Plast","Formpressa polystyren, lærpolstring, støypt aluminium",https://collections.vam.ac.uk/item/O137614/,O137614,Denmark,"Jacobsen, Arne Emil",0.0,https://raw.githubusercontent.com/lukketsvane/stolar-db/main/STOLAR/glb/O137614.glb,15.0,Danmark,"https://framemark.vam.ac.uk/collections/2008BT7501/full/!800,800/0/default.jpg",,,,Skandinavisk modernisme,,0.0,1958,0.0,0.0,Armstol,1900-talet,0.857313444138209,0.5348874900974383,0.4913948653902961,4.709648011970551,2.21721631042762
Chair (ukjent),https://raw.githubusercontent.com/lukketsvane/stolar-db/main/STOLAR/bguw/O137946_bguw.png,1930.0,Kryssfiner,Kryssfiner,https://collections.vam.ac.uk/item/O137946/,O137946,Finland,ukjent,1939.0,https://raw.githubusercontent.com/lukketsvane/stolar-db/main/STOLAR/glb/O137946.glb,0.0,Finland,"https://framemark.vam.ac.uk/collections/2018KX9395/full/!800,800/0/default.jpg",,,,Art Deco / Tidleg modernisme,,0.0,1930-1939,0.0,0.0,Stol,1900-talet,0.7930764885661774,0.6272671299899709,0.3658562255561143,4.655587706192721,1.629944592461668
Armchair (ukjent),https://raw.githubusercontent.com/lukketsvane/stolar-db/main/STOLAR/bguw/O138120_bguw.png,1640.0,Eik,"Eik med innfelt panel og dekor, truleg av kristtorn og myreik",https://collections.vam.ac.uk/item/O138120/,O138120,England,Unknown,1670.0,https://raw.githubusercontent.com/lukketsvane/stolar-db/main/STOLAR/glb/O138120.glb,0.0,Storbritannia,https://framemark.vam.ac.uk/collections/2011EN2162/full/full/0/default.jpg,,,,Barokk,Innfelling,66.5,1640-1670,58.5,121.0,Armstol,1600-talet,0.787638500795991,0.6927093681757198,0.4575920822559075,5.064491105054694,0.3400944129188092
Folding chair (ukjent),https://raw.githubusercontent.com/lukketsvane/stolar-db/main/STOLAR/bguw/O138281_bguw.png,1550.0,Nøttetre,"Nøttetre, skoren",https://collections.vam.ac.uk/item/O138281/,O138281,Italy,ukjent,0.0,https://raw.githubusercontent.com/lukketsvane/stolar-db/main/STOLAR/glb/O138281.glb,0.0,Italia,"https://framemark.vam.ac.uk/collections/2014HB8347/full/!800,800/0/default.jpg",,,,Renessanse,Skjæring,69.8,about 1550,59.5,102.0,Klappstol,1600-talet,0.7810360076451603,0.8242899143509974,0.4445824989913057,4.654487969035969,1.656253153013612
Chair (ukjent),https://raw.githubusercontent.com/lukketsvane/stolar-db/main/STOLAR/bguw/O138297_bguw.png,1710.0,"Eik, Nøttetre",Nøttetre og eik,https://collections.vam.ac.uk/item/O138297/,O138297,England,ukjent,0.0,https://raw.githubusercontent.com/lukketsvane/stolar-db/main/STOLAR/glb/O138297.glb,0.0,Storbritannia,"https://framemark.vam.ac.uk/collections/2011ER1735/full/!800,800/0/default.jpg",,,,Rokokko,,52.0,about 1710-20,40.0,40.5,Stol,1700-talet,0.8561864370309098,0.9169417417487312,0.7465695520853749,4.638970943982242,4.899626379271381
Chair (ukjent),https://raw.githubusercontent.com/lukketsvane/stolar-db/main/STOLAR/bguw/O138298_bguw.png,1660.0,"Eik, Nøttetre, Tekstil","Valnøtt(?) og eik, med moderne polstring",https://collections.vam.ac.uk/item/O138298/,O138298,England,ukjent,1700.0,https://raw.githubusercontent.com/lukketsvane/stolar-db/main/STOLAR/glb/O138298.glb,0.0,Storbritannia,"https://framemark.vam.ac.uk/collections/2011ER1709/full/!800,800/0/default.jpg",,,,Barokk,,52.0,1660-1700,63.0,37.0,Stol,1600-talet,0.8269576277681723,0.528820113744781,0.6907983530610877,4.618582422296908,3.9507765508935857
C3 Chair,https://raw.githubusercontent.com/lukketsvane/stolar-db/main/STOLAR/bguw/O138687_bguw.png,1989.0,Ask,Dampbøygd og massiv ask,https://collections.vam.ac.uk/item/O138687/,O138687,Wiltshire,"Colwell, David",,https://raw.githubusercontent.com/lukketsvane/stolar-db/main/STOLAR/glb/O138687.glb,,,https://framemark.vam.ac.uk/collections/2006BH6025/full/full/0/default.jpg,,,,Postmodernisme,,50.0,1989,52.0,85.0,Stol,1900-talet,0.8492523319035509,0.6037540259699931,0.5061913165127602,5.425371750362779,0.1271635991512762
Child's chair (ukjent),https://raw.githubusercontent.com/lukketsvane/stolar-db/main/STOLAR/bguw/O1391587_bguw.png,1855.0,"Perlemor, Rotting, Tre","Tre (truleg bøk), skore, dreidd, japannert og innlagt med perlemor, med spanskrøyrsete",https://collections.vam.ac.uk/item/O1391587/,O1391587,France,ukjent,0.0,https://raw.githubusercontent.com/lukketsvane/stolar-db/main/STOLAR/glb/O1391587.glb,0.0,Frankrike,"https://framemark.vam.ac.uk/collections/2017JY3266/full/!800,800/0/default.jpg",,,,Historisme,,33.0,ca. 1855,36.0,68.0,Barnestol,1800-talet,0.8150424020579803,0.5666404352212864,0.4266855539396649,4.675945259483779,1.1622725262383993
Chair (Unknown),https://raw.githubusercontent.com/lukketsvane/stolar-db/main/STOLAR/bguw/O139569_bguw.png,1855.0,"Mahogni, Ull","[AI] Fernissert mahogni med skåret rygg og dreide forben. Polstret sete med stopp av hestetagl, trukket med mønstret ullstoff.",https://collections.vam.ac.uk/item/O139569/,O139569,England,Unknown,0.0,https://raw.githubusercontent.com/lukketsvane/stolar-db/main/STOLAR/glb/O139569.glb,0.0,Storbritannia,https://framemark.vam.ac.uk/collections/2016JA8972/full/full/0/default.jpg,,,,Historisme,,44.5,ca. 1855,39.4,83.8,Stol,1800-talet,0.8238887226843227,0.6146877489376009,0.4687425591421813,5.420955684881715,0.1146375283324449
Chair (Holland & Sons),https://raw.githubusercontent.com/lukketsvane/stolar-db/main/STOLAR/bguw/O140084_bguw.png,1835.0,"Metall, Tekstil, Tre, Vegetabilsk fiber","[AI] Skåret og dreid tre med rester av maling. Polstret sete med fyll av vegetabilsk fiber, rygg trukket med tekstil festet med metallnagler.",https://collections.vam.ac.uk/item/O140084/,O140084,England,Holland & Sons,1843.0,https://raw.githubusercontent.com/lukketsvane/stolar-db/main/STOLAR/glb/O140084.glb,0.0,Storbritannia,"https://framemark.vam.ac.uk/collections/2018KP1203/full/!800,800/0/default.jpg",,,,Historisme,,67.9,1835-1843,57.2,129.5,Stol,1800-talet,0.7606012011119624,0.5476289901031137,0.3631424156850894,4.645449474946798,1.1351511412943818
"Armchair (Riemerschmid, Richard)",https://raw.githubusercontent.com/lukketsvane/stolar-db/main/STOLAR/bguw/O140391_bguw.png,1897.0,Tre,Beisa tre,https://collections.vam.ac.uk/item/O140391/,O140391,Munich,"Riemerschmid, Richard",0.0,https://raw.githubusercontent.com/lukketsvane/stolar-db/main/STOLAR/glb/O140391.glb,0.0,Tyskland,"https://framemark.vam.ac.uk/collections/2008BT7446/full/!800,800/0/default.jpg",,,,Historisme,,0.0,1897,54.0,45.0,Armstol,1800-talet,0.8250123391738319,0.758586305636154,0.6359430787034703,4.640814252860308,2.8841739975035643
Chair (ukjent),https://raw.githubusercontent.com/lukketsvane/stolar-db/main/STOLAR/bguw/O140827_bguw.png,1715.0,Nøttetre,Carved walnut,https://collections.vam.ac.uk/item/O140827/,O140827,England,ukjent,0.0,https://raw.githubusercontent.com/lukketsvane/stolar-db/main/STOLAR/glb/O140827.glb,0.0,Storbritannia,https://framemark.vam.ac.uk/collections/2014HC8696/full/full/0/default.jpg,,,,Rokokko,,0.0,1715-25,0.0,0.0,Stol,1700-talet,0.7812731150377573,0.5550144411877569,0.3733290391944853,4.648438129763112,1.0418717934314672
